postcode,distance
1001LC,1672.322016
1001LD,1672.322016
1001LE,1672.322016
1001LG,1672.322016
1001LH,1672.322016
1001LJ,1672.322016
1001LK,1672.322016
1001MA,1672.322016
1001MB,1672.322016
1001MC,1672.322016
1001MD,1672.322016
1001ME,1672.322016
1001MG,1672.322016
1001MH,1672.322016
1001MJ,1672.322016
1001MK,1672.322016
1001ML,1672.322016
1001NA,1672.322016
1001NB,1672.322016
1001NC,1672.322016
1001ND,1672.322016
1001NE,1672.322016
1001NG,1672.322016
1001NH,1672.322016
1001NJ,1672.322016
1001NK,1672.322016
1001NL,1672.322016
1001NM,1672.322016
1001NN,1672.322016
1001NP,1672.322016
1001NR,1672.322016
1001NS,1672.322016
1001RA,1672.322016
1001RB,1672.322016
1001RC,1672.322016
1001RD,1672.322016
1001RE,1672.322016
1001RG,1672.322016
1001RH,1672.322016
1001RJ,1672.322016
1001RK,1672.322016
1001RL,1672.322016
1001RM,1672.322016
1001RN,1672.322016
1001TV,1672.322016
1001WB,1672.322016
1001WC,1672.322016
1001WD,1672.322016
1001WE,1672.322016
1001ZA,1672.322016
1001ZB,1672.322016
1001ZC,1672.322016
1001ZD,1672.322016
1002GD,66950.15215
1003AA,66950.15215
1005AA,1672.322016
1005AB,1672.322016
1005AC,1672.322016
1005AD,1672.322016
1005AE,1672.322016
1005AG,1672.322016
1005AH,1672.322016
1005AK,1672.322016
1005AL,1672.322016
1005AM,1672.322016
1005AN,1672.322016
1005AR,1672.322016
1005AS,1672.322016
1005BA,1672.322016
1005BB,1672.322016
1005BC,1672.322016
1005BD,1672.322016
1005BK,1672.322016
1005DA,1672.322016
1005EA,1672.322016
1005EB,1672.322016
1005EE,1672.322016
1005EG,1672.322016
1005EH,1672.322016
1005EJ,1672.322016
1005EK,1672.322016
1005EM,1672.322016
1005ER,1672.322016
1005HA,1672.322016
1005HB,1672.322016
1005HD,1672.322016
1005HE,1672.322016
1005HG,1672.322016
1005HH,1672.322016
1005LA,1672.322016
1005LB,1672.322016
1005LC,1672.322016
1005LD,1672.322016
1005LE,1672.322016
1006AA,1672.322016
1006AB,1672.322016
1006AC,1672.322016
1006AD,1672.322016
1006AE,1672.322016
1006AG,1672.322016
1006AH,1672.322016
1006AJ,1672.322016
1006AK,1672.322016
1006AL,1672.322016
1006AM,1672.322016
1006AN,1672.322016
1006AP,1672.322016
1006AR,1672.322016
1006BA,1672.322016
1006BB,1672.322016
1006BC,1672.322016
1006BD,1672.322016
1006BE,1672.322016
1006BG,1672.322016
1006BH,1672.322016
1006BJ,1672.322016
1006BK,1672.322016
1006BL,1672.322016
1006BM,1672.322016
1006CE,1672.322016
1006EA,1672.322016
1006EB,1672.322016
1006GA,1672.322016
1006GB,1672.322016
1006GC,1672.322016
1006GD,1672.322016
1006GE,1672.322016
1006JA,1672.322016
1006JB,1672.322016
1006JC,1672.322016
1006JD,1672.322016
1006KA,1672.322016
1007AB,1672.322016
1007AG,1672.322016
1007AL,1672.322016
1007AM,1672.322016
1007EA,1672.322016
1007EB,1672.322016
1007EC,1672.322016
1007ED,1672.322016
1007EE,1672.322016
1007EG,1672.322016
1007EH,1672.322016
1007EJ,1672.322016
1007JA,1672.322016
1007JB,1672.322016
1007JC,1672.322016
1007JD,1672.322016
1007JE,1672.322016
1007JG,1672.322016
1007JH,1672.322016
1007JJ,1672.322016
1007JK,1672.322016
1007JL,1672.322016
1007KA,1672.322016
1007KB,1672.322016
1007KC,1672.322016
1007KD,1672.322016
1007KE,1672.322016
1007KG,1672.322016
1007KH,1672.322016
1007KJ,1672.322016
1007KK,1672.322016
1007KL,1672.322016
1007KM,1672.322016
1007MA,1672.322016
1007MB,1672.322016
1007MC,1672.322016
1007NA,1672.322016
1007NB,1672.322016
1007NC,1672.322016
1007RA,1672.322016
1007RB,1672.322016
1007RC,1672.322016
1007RD,1672.322016
1007RE,1672.322016
1007RG,1672.322016
1007VA,1672.322016
1008AA,1672.322016
1008AB,1672.322016
1008AC,1672.322016
1008AD,1672.322016
1008BA,1672.322016
1008BB,1672.322016
1008BC,1672.322016
1008BD,1672.322016
1008BE,1672.322016
1008BG,1672.322016
1008BH,1672.322016
1008BJ,1672.322016
1008CA,1672.322016
1008DE,1672.322016
1008DG,1672.322016
1008EA,1672.322016
1008EB,1672.322016
1008EC,1672.322016
1009AA,1672.322016
1009AK,1672.322016
1009AM,1672.322016
1009CG,1672.322016
1009DB,1672.322016
1009DC,1672.322016
1009EX,1672.322016
1011NS,916.4412011
1020MA,3093.907702
1020MB,3093.907702
1020MC,3093.907702
1020MD,3093.907702
1020ME,3093.907702
1020MG,3093.907702
1020MH,3093.907702
1020MJ,3093.907702
1020MK,3093.907702
1020ML,3093.907702
1030AA,2837.72633
1030AB,2837.72633
1030AC,2837.72633
1030AD,2837.72633
1030AE,2837.72633
1030AG,2837.72633
1030AH,2837.72633
1030AJ,2837.72633
1030AK,2837.72633
1030AL,2837.72633
1030AM,2837.72633
1030AN,2837.72633
1030BA,2837.72633
1030BB,2837.72633
1030BD,2837.72633
1030BE,2837.72633
1030BG,2837.72633
1030BH,2837.72633
1030BJ,2837.72633
1030BN,2837.72633
1040AA,4102.934505
1040AJ,4102.934505
1040AK,4102.934505
1040AR,4102.934505
1040AS,4102.934505
1040AT,4102.934505
1040AV,4102.934505
1040AW,4102.934505
1040AX,4102.934505
1040BA,4102.934505
1040BB,4102.934505
1040BC,4102.934505
1040BD,4102.934505
1040BH,4102.934505
1040BK,4102.934505
1040BL,4102.934505
1040BN,4102.934505
1040CJ,4102.934505
1040EC,4102.934505
1040HA,4102.934505
1040HB,4102.934505
1040HC,4102.934505
1040HD,4102.934505
1040HE,4102.934505
1040HG,4102.934505
1040HH,4102.934505
1040HJ,4102.934505
1040HK,4102.934505
1040HR,4102.934505
1040JA,4102.934505
1040KA,4102.934505
1040KB,4102.934505
1040KC,4102.934505
1040KD,4102.934505
1040KE,4102.934505
1040KG,4102.934505
1040KH,4102.934505
1040KJ,4102.934505
1040LA,4102.934505
1040LB,4102.934505
1040LC,4102.934505
1040LD,4102.934505
1040LE,4102.934505
1040LG,4102.934505
1060CA,2719.344775
1060CB,2719.344775
1060CC,2719.344775
1060CD,2719.344775
1060CE,2719.344775
1060CG,2719.344775
1060CH,2719.344775
1060CJ,2719.344775
1060CK,2719.344775
1060CL,2719.344775
1060CM,2719.344775
1060CN,2719.344775
1060CP,2719.344775
1060CR,2719.344775
1060CS,2719.344775
1060JA,2719.344775
1060JB,2719.344775
1060JC,2719.344775
1070AA,1570.664383
1070AB,1570.664383
1070AC,1570.664383
1070AD,1570.664383
1070AE,1570.664383
1070AG,1570.664383
1070AH,1570.664383
1070AJ,1570.664383
1070AK,1570.664383
1070AL,1570.664383
1070AM,1570.664383
1070AN,1570.664383
1070AP,1570.664383
1070AR,1570.664383
1070AS,1570.664383
1070AT,1570.664383
1070AV,1570.664383
1070AW,1570.664383
1070AX,1570.664383
1070AZ,1570.664383
1070BA,1570.664383
1070BB,1570.664383
1070BC,1570.664383
1070BD,1570.664383
1070BE,1570.664383
1070BR,1570.664383
1070BS,1570.664383
1070BT,1570.664383
1070BV,1570.664383
1070DB,1570.664383
1070DC,1570.664383
1070DE,1570.664383
1070DJ,1570.664383
1070DM,1570.664383
1070DN,1570.664383
1070EA,1570.664383
1070EB,1570.664383
1070ED,1570.664383
1070EE,1570.664383
1070EG,1570.664383
1070EH,1570.664383
1070HC,1570.664383
1070HD,1570.664383
1070HE,1570.664383
1070KA,1570.664383
1070KB,1570.664383
1070KC,1570.664383
1070KD,1570.664383
1070KE,1570.664383
1070KP,1570.664383
1070LG,1570.664383
1070LH,1570.664383
1070LJ,1570.664383
1070LK,1570.664383
1070LL,1570.664383
1070LP,1570.664383
1070MS,1570.664383
1070MX,1570.664383
1070NB,1570.664383
1070NC,1570.664383
1070ND,1570.664383
1070NE,1570.664383
1075AG,2174.392665
1080AA,1351.030138
1080AB,1351.030138
1080BN,1351.030138
1080JA,1351.030138
1080JB,1351.030138
1080JC,1351.030138
1080JG,1351.030138
1080JJ,1351.030138
1080JK,1351.030138
1080JL,1351.030138
1080JM,1351.030138
1080JN,1351.030138
1080KA,1351.030138
1083GT,3909.537056
1090AA,1208.63895
1090AB,1208.63895
1090AC,1208.63895
1090AD,1208.63895
1090AE,1208.63895
1090AG,1208.63895
1090AH,1208.63895
1090AJ,1208.63895
1090AK,1208.63895
1090BA,1208.63895
1090BB,1208.63895
1090BC,1208.63895
1090EA,1208.63895
1090EB,1208.63895
1090EC,1208.63895
1090GA,1208.63895
1090GB,1208.63895
1090GC,1208.63895
1090GD,1208.63895
1090GE,1208.63895
1090GG,1208.63895
1090GH,1208.63895
1090GJ,1208.63895
1090GK,1208.63895
1090GL,1208.63895
1090GM,1208.63895
1090GN,1208.63895
1090GP,1208.63895
1090GR,1208.63895
1090GS,1208.63895
1090GT,1208.63895
1090GV,1208.63895
1090GW,1208.63895
1090GX,1208.63895
1090GZ,1208.63895
1090HA,1208.63895
1090HB,1208.63895
1090HC,1208.63895
1090HD,1208.63895
1090HE,1208.63895
1090HG,1208.63895
1090HH,1208.63895
1090HJ,1208.63895
1090HM,1208.63895
1098XG,4536.80571
1035JS,6235.743347
1035JT,6333.952861
1035JV,6138.476557
1035JW,6159.615869
1035JX,6380.53185
1035JZ,6350.422945
1035KA,6328.644014
1035KB,6289.959811
1035KC,6258.687419
1035KD,6322.093542
1035KE,6311.509628
1035KG,6347.842596
1035KH,6219.488715
1035KJ,6193.360391
1035KK,6269.269411
1035KL,6244.269176
1035KM,6319.437796
1035KN,6292.751999
1035KP,6257.699106
1035KR,6213.263175
1035KS,6081.178575
1035KV,6104.052199
1035KW,6061.287237
1035KX,6016.990613
1035LA,6017.079591
1035LB,6069.76173
1035LC,6023.987141
1035LD,5993.813185
1035MA,5628.768415
1035MZ,5628.698813
1035NB,5564.519861
1035NC,5878.814252
1035ND,5647.179768
1035NE,5430.696478
1035NG,5251.29254
1035NH,5082.309459
1035NL,5928.036723
1035NM,5782.944002
1035NN,5640.445658
1035NP,5542.117951
1035NR,5444.902457
1035NS,5317.608635
1035NT,5125.973523
1035NV,5724.097194
1035NW,5660.37772
1035NX,5695.721962
1035PC,6335.995013
1035PD,6208.499061
1035PE,6075.360517
1035PG,5919.005783
1035PH,5742.736339
1035PJ,5599.225689
1035PK,5941.488556
1035PM,6303.90664
1035PN,6051.775516
1035PP,5840.558373
1035PR,5646.15224
1035PS,5453.707563
1035PT,5248.829808
1035PV,4943.996792
1035PW,5433.832164
1035PX,5180.053423
1035RA,5507.559511
1035RD,5526.74221
1035RE,5500.320725
1035RG,5466.531872
1035RH,5441.836351
1035RJ,5410.722914
1035RL,5575.047929
1035RM,5570.331477
1035RN,5897.544642
1035RW,5816.994745
1035RX,5789.221986
1035SB,6087.061246
1035SC,6091.357195
1035SE,6067.498625
1035SG,6049.218063
1035SH,6069.643764
1035SJ,6060.197612
1035SK,6050.829452
1035SL,6127.893613
1035SM,6120.67207
1035SN,6108.813185
1035SR,6126.740099
1035ST,6183.462847
1035SV,6097.652963
1035SW,6146.816533
1035SX,6225.066286
1035SZ,6283.851646
1035TA,6238.690292
1035TB,6234.766201
1035TC,6179.787898
1035TD,6226.153937
1035TE,6161.600456
1035TG,6149.625564
1035TH,6253.388859
1035TJ,6271.760564
1035TL,6177.804224
1035TM,6171.594897
1035TN,6203.749917
1035TP,6197.679253
1035TS,5567.672063
1035TT,5728.214777
1035TV,5775.76018
1035TW,5578.223254
1035TX,5736.924764
1035TZ,5718.669995
1035VB,5740.674211
1035VC,5707.186165
1035VD,5690.150159
1035VE,5832.081174
1035VG,5830.056293
1035VH,5838.3163
1035VJ,5866.647777
1035VK,5906.804159
1035VL,5907.909774
1035VM,5888.803644
1035VN,5904.047452
1035VR,5834.661208
1035VS,5952.982946
1035VT,5956.725741
1035VV,5958.526707
1035VW,5961.755531
1035VX,5956.721468
1035VZ,5954.435326
1035XA,5953.064209
1035XB,5948.607063
1035XC,5897.845876
1035XD,5901.863473
1035XE,5892.327038
1035XG,6013.871434
1035XH,5985.969177
1035XJ,5937.700178
1035XK,5809.597628
1035XL,5804.61137
1035XM,5779.227737
1035XN,5761.665849
1035XP,5832.894926
1035XR,5877.957339
1035XS,5840.380366
1035XT,5918.944677
1035XV,5885.199453
1035XW,5944.249552
1035XX,5860.284509
1035XZ,5905.06075
1036KC,4587.727915
1036KD,4826.107662
1036KE,4645.030718
1036KG,4688.661717
1036KH,4720.129197
1036KJ,4723.912112
1036KK,4765.066639
1036KL,4830.466599
1036KM,4887.516596
1036KN,4938.061053
1036KP,4503.98288
1036KR,4454.72319
1036KS,4445.53472
1036KT,4386.903893
1036LB,4748.234078
1036LD,4677.054593
1036LG,4638.022824
1036LJ,4597.91239
1036LK,4584.506372
1036LL,4545.957432
1037RK,7224.516205
1037RP,7224.516205
1037RR,7224.516205
1037RS,7224.516205
1041AB,5257.802366
1041AC,5214.601614
1041AD,5366.333341
1041AE,5307.551177
1041AG,5224.55465
1041AH,5311.576058
1041AJ,5548.081464
1041AK,5810.547822
1041AL,5112.419064
1041AM,6398.078793
1041AN,6361.613864
1041AP,6687.291269
1041AR,6620.492551
1041AS,7123.3029
1041AT,6743.659894
1041AV,6914.40726
1041AW,6965.443116
1041AX,5141.89191
1041AZ,5774.781006
1041BA,6856.994438
1041BC,7085.726437
1041BD,6976.158775
1041BE,7064.109288
1042AA,5204.019652
1042AB,4754.096411
1042AC,4840.695846
1042AD,5005.611507
1042AE,5087.725968
1042AG,5396.747361
1042AH,5509.017487
1042AK,6382.815857
1042AL,6122.839302
1042AN,5062.317557
1042AP,4825.32832
1042AR,4650.994538
1042AS,4875.945788
1042AT,5063.622083
1042AV,5232.683097
1042AX,4756.611244
1042AZ,4865.772258
1042BA,6808.290492
1042BB,7144.818335
1043AA,4723.410114
1043AC,4742.180673
1043AD,4913.67813
1043AE,5082.989568
1043AG,5316.806263
1043AH,4900.817675
1043AJ,4709.307838
1043AK,4939.885022
1043AL,5270.90132
1043AM,5596.799029
1043AN,5021.618502
1043AP,5247.267406
1043AR,5812.747027
1043AX,6398.345775
1043BA,6219.580605
1043BB,6192.853978
1043BC,5958.098616
1043BD,5680.598665
1043BE,5110.599731
1043BG,5483.375386
1043BH,5556.880725
1043BJ,5916.889635
1043BK,6285.429593
1043BL,6333.567911
1043BP,4289.116049
1043BS,4403.330591
1043BW,4397.396996
1043BX,4449.595614
1043BZ,4734.451345
1043CA,5055.371065
1043CB,4511.133423
1043CE,4304.41526
1043CH,4361.535253
1043CM,4258.636331
1043CP,4317.595787
1043CR,4464.023461
1043CT,4621.337781
1043DE,4063.595698
1043DG,4260.650402
1043DH,4410.900663
1043DJ,4289.489246
1043DK,4242.985214
1043DL,4164.172765
1043DP,4386.285339
1043DR,4360.273984
1043DS,4324.735062
1043DT,4251.040186
1043DV,4198.476216
1043DW,4268.104512
1043DZ,3980.977652
1043EA,3875.175846
1043EB,3875.175846
1043EC,4008.953271
1043EH,4204.640326
1043EJ,3958.954429
1043EW,4225.926193
1043EX,4044.436029
1043EZ,4044.436029
1043GK,4186.247619
1043GL,4075.211493
1043GM,3973.102645
1043GN,3875.747239
1043GP,3803.352285
1043GR,3722.579991
1043GV,4103.589818
1043GW,3994.193101
1043HP,3777.305821
1043HP,3852.507266
1043HR,3910.216617
1043HS,3952.380329
1043NT,4503.957126
1043NV,4251.341764
1043NX,4562.528472
1043NZ,4164.198867
1044AB,6508.327168
1044AD,7567.5975
1044AE,6155.324386
1044AG,6203.814943
1044AH,6902.929831
1044AJ,6884.811907
1044AK,7661.822316
1044AL,7789.678147
1044AM,7464.704833
1044AN,6635.112993
1044AS,6201.373842
1045AA,8015.020684
1045AC,8436.624158
1045AD,8119.517963
1045AE,7948.715218
1045AG,7515.27457
1045AL,7389.264149
1045AM,7082.011663
1045AP,7640.412417
1045AR,8232.753982
1045AS,9296.234459
1045AT,8466.366544
1045AV,9049.927994
1045AX,10104.2981
1045AZ,7787.506563
1045BA,7445.343981
1046AA,7307.17154
1046AB,7517.222924
1046AC,7134.219131
1046AD,7067.492813
1046AE,7102.824873
1046AG,7419.75203
1046AH,7571.69253
1046AJ,7585.222207
1046AK,7891.60549
1046AL,7869.093042
1046AM,7628.600826
1046AN,8104.192439
1046AP,7991.13271
1046AR,8114.688368
1046AS,7270.421083
1046AT,7332.015061
1046AV,7218.058258
1046AW,6753.659576
1046AZ,9003.827786
1046BA,7810.449476
1046BB,7943.225511
1046BC,7566.785283
1046BD,7457.310441
1046BE,7320.257023
1046BG,8092.255815
1046BH,8137.953904
1046BJ,7868.028601
1046BK,8173.377732
1046BL,8183.630146
1046BM,7420.70277
1046BN,8179.597076
1046BP,7086.91276
1046BR,7288.707123
1046BS,7394.777842
1046BV,8073.751477
1046BW,6517.583055
1046BZ,6517.583055
1046CA,6885.188157
1046CB,6614.266128
1046CC,6490.631557
1046CG,6674.545561
1046CH,6627.112377
1046CJ,6596.267099
1046CK,6796.004699
1046PP,7349.315283
1047AC,8992.403697
1047AD,9023.416597
1047AE,9043.138535
1047AG,8741.220304
1047AH,8761.026157
1047AV,8542.129902
1047AW,8703.712732
1047AZ,8867.845325
1047BA,9791.779877
1047BB,9546.046842
1047BC,9909.226891
1047BD,10057.40621
1047BE,9807.019772
1047BJ,10076.166
1047BM,9877.957827
1047BP,9598.907736
1047HA,12274.40939
1047HB,11731.42678
1047HD,11170.35812
1047HH,10604.84928
1047HJ,10370.77496
1047HK,10335.57325
1047HM,10494.35853
1047HN,10248.16864
1047HP,10090.27572
1051AA,2096.760012
1051AB,2074.676989
1051AC,2054.010542
1051AK,1976.63722
1051AL,1952.806279
1051AM,1928.338936
1051AN,1911.756952
1051AP,1896.981198
1051AS,2096.399574
1051AT,2056.835812
1051AV,2193.832241
1051AW,2058.429823
1051AX,2164.138085
1051AZ,2199.778287
1051BA,2028.518834
1051BB,2209.364941
1051BC,2082.12837
1051BD,2126.048383
1051BE,2146.078416
1051BH,2092.39113
1051BJ,2084.106849
1051BK,2060.992504
1051BL,2044.443749
1051BM,2044.714968
1051BN,2057.852071
1051BP,2103.590037
1051BR,2080.889168
1051BS,2069.187285
1051BT,2060.455529
1051BV,2070.308739
1051BW,2087.642314
1051BX,2115.477974
1051BZ,2081.431897
1051CA,2094.759743
1051CB,2114.800741
1051CC,2129.79064
1051CD,2143.376596
1051CE,2166.546023
1051CG,2392.032649
1051CH,2342.35638
1051CJ,2111.504465
1051CK,2078.948524
1051CL,1962.31201
1051CM,1869.098448
1051CN,2123.859658
1051CP,1954.764498
1051CR,1832.452645
1051CS,1996.848391
1051CT,2008.689207
1051CV,2002.298225
1051CW,2013.021427
1051CX,2024.441987
1051CZ,2029.195732
1051DA,2113.601741
1051DB,2295.209162
1051DC,1797.071371
1051DD,2513.867975
1051DE,2438.443051
1051DG,2496.131296
1051EA,2043.296394
1051EB,2047.659875
1051EC,2061.709887
1051ED,2243.975114
1051EE,2314.998634
1051EG,2246.424177
1051EH,2156.178436
1051EJ,2103.389657
1051EK,2052.276526
1051EL,1988.007282
1051EM,1932.825419
1051EN,2131.908208
1051EP,2028.68601
1051ER,1941.545443
1051ES,2258.318581
1051ET,2170.270716
1051EV,2097.010098
1051EW,2014.387592
1051EX,2247.175722
1051EZ,2140.920929
1051GA,2090.923627
1051GB,1984.673008
1051GC,2109.906658
1051GD,2097.498153
1051GE,2101.475253
1051GG,2112.46666
1051GH,2132.859019
1051GJ,2147.57762
1051GK,2123.820784
1051GL,2117.532266
1051GM,2130.606472
1051GN,2152.903748
1051GP,2159.409344
1051GR,2174.986204
1051GS,2193.523709
1051GT,2182.509407
1051GV,2209.278007
1051GW,2362.642137
1051GX,2276.549111
1051GZ,2112.909901
1051HA,1997.450325
1051HB,1906.846647
1051HC,1880.982892
1051HD,1855.114441
1051HE,1811.086122
1051HG,1778.289151
1051HH,2073.633947
1051HJ,1930.581911
1051HK,1895.358291
1051HL,1864.868428
1051HM,1785.374073
1051HN,1895.269933
1051HP,1925.390411
1051HR,1923.321546
1051HS,1947.11528
1051HV,1764.956542
1051HW,1787.360893
1051HX,1806.641833
1051HZ,1818.530829
1051JA,1817.434694
1051JB,1886.567932
1051JC,1854.17648
1051JD,1886.095996
1051JE,1776.239458
1051JG,1909.576239
1051JH,1926.637192
1051JJ,1937.772154
1051JK,2088.686093
1051JL,1765.625374
1051JM,1745.544354
1051JN,1773.840356
1051JP,1701.33882
1051JR,2141.769269
1051JS,2074.854917
1051JT,2006.580575
1051JV,1952.447187
1051JW,1850.035565
1051JX,2150.977517
1051JZ,2110.398232
1051KA,2064.918786
1051KB,1977.219411
1051KC,1891.420492
1051KD,1852.946332
1051KE,1749.382919
1051KG,1770.701912
1051KH,1698.239183
1051KJ,1743.774738
1051KM,1799.066697
1051KN,2160.440932
1051KP,2189.252564
1051KR,2211.297768
1051KS,2230.339311
1051KT,2261.154647
1051KV,2273.530574
1051KW,2281.937434
1051KX,2302.336304
1051KZ,2318.682876
1051LA,2330.744207
1051LB,2357.637606
1051LC,2371.721329
1051LD,2382.836081
1051LE,2396.016097
1051LG,2484.093568
1051LH,2617.32085
1051LK,2729.893343
1051LL,2645.025743
1051LM,2560.495243
1051LN,1689.677592
1051LP,1655.406314
1051LR,1621.564204
1051LS,1666.600205
1051LT,1637.850236
1051LV,1610.147405
1051LW,1663.025262
1051LX,1634.788277
1051LZ,1607.170384
1051MA,1988.038437
1051MB,1710.635357
1051MC,1697.93091
1051MD,1658.029375
1051ME,1737.596432
1051ME,1672.815096
1051MG,1669.482569
1051MH,1672.043499
1051MJ,1749.281662
1051MK,1750.294858
1051ML,1743.742841
1051NA,1708.68742
1051NB,1687.115844
1051NC,1650.750537
1051ND,1610.076096
1051NE,1675.104588
1051NG,1657.948937
1051NH,1633.630697
1051NJ,1609.405945
1051NK,1642.197963
1051NL,1615.987387
1051NN,1963.158057
1051NV,2433.047897
1051NW,2442.269287
1051NX,2429.976449
1051NZ,2406.429743
1051PA,2390.574626
1051PB,2358.066846
1051PC,2316.105406
1051PD,2274.372548
1051PE,2295.047127
1051PG,2241.146611
1051PH,2219.893602
1051PJ,2193.47602
1051PK,2261.550615
1051PL,2284.397492
1051PM,2213.136796
1051PN,2177.712741
1051PP,2161.89617
1051PR,2166.29619
1051PS,2179.847667
1051PT,2336.717301
1051PV,2295.629677
1051PW,2259.946544
1051PX,2232.115393
1051PZ,2205.699795
1051RE,1821.494143
1051RG,1822.689261
1051RH,1823.726089
1051RJ,1824.49296
1051RK,1825.484122
1051RL,1762.843645
1051TG,2191.965081
1051TH,2204.626825
1051TJ,2221.996169
1051TK,2251.771636
1051TL,2280.850302
1051TM,2305.330036
1051TN,2313.256463
1051TP,2178.499366
1051TR,2184.955498
1051TS,2222.575033
1051TT,2239.523993
1051TV,2272.294373
1051TW,2294.164443
1051TX,2321.005918
1051TZ,2331.427707
1051VA,2130.516248
1051VB,2167.780129
1051VC,2209.223312
1051VD,2233.933773
1051VE,2253.511173
1051VG,2151.016195
1051VH,2177.345067
1051VJ,2191.966328
1051VK,2227.03332
1051VL,2244.414508
1051VM,2260.937436
1051VN,2273.822912
1051VP,2001.215411
1051VR,2026.019186
1051VS,1981.729474
1051VT,1952.346255
1051VV,1965.531668
1051VW,2033.728542
1051VX,2052.980811
1051VZ,2056.262904
1051XA,2028.928103
1051XC,2126.964101
1051XD,2081.457718
1051XE,2124.717008
1051XG,2096.452967
1051XH,2059.917071
1051XJ,2053.987506
1051XK,2005.243219
1051XL,1979.726514
1051XM,1946.269331
1051XN,1943.420557
1051XP,1968.865077
1051XR,1985.156991
1051XS,2022.006002
1051XT,2010.465076
1051XV,1973.464406
1051XW,1964.030234
1051XZ,1995.757123
1052AA,2061.825376
1052AB,2041.232693
1052AC,2023.595789
1052AD,2004.320096
1052AE,1967.295354
1052AG,1944.787717
1052AH,2056.23165
1052AJ,1998.5037
1052AK,1980.445935
1052AL,1950.575249
1052AM,1916.943781
1052AN,1904.15696
1052AP,1890.12126
1052AR,1865.266718
1052AS,1854.431457
1052AT,1836.750728
1052AV,2026.871116
1052AW,2006.328004
1052AX,1980.486612
1052AZ,1963.463812
1052BA,1934.546922
1052BB,1893.347886
1052BC,1865.804908
1052BD,1896.151442
1052BE,1965.231965
1052BG,1889.927864
1052BH,1944.81421
